ID;Disciplina;Assunto;Assertiva;Gabarito;comentario;Assunto_Novo;Assunto_Corrigido
221;direiro previdenciário;Das Inscrições (RGPS);O serviço social atua como atividade auxiliar do seguro social, prestando orientação e apoio aos beneficiários na solução de problemas pessoais e familiares, com prioridade máxima de atendimento direcionada aos aposentados e pensionistas.;E;A prioridade no atendimento do serviço social é dada aos segurados em gozo de benefício por incapacidade temporária, conferindo-se, contudo, uma atenção especial aos aposentados e pensionistas.;Tópicos Mesclados / Outros (Previdenciário);Das Inscrições (RGPS)
222;direiro previdenciário;Recursos das Decisões Administrativas;O parecer social e a pesquisa social constituem recursos técnicos dos assistentes sociais do INSS, sendo o parecer social um pronunciamento profissional que pode, inclusive, embasar uma decisão médico-pericial.;C;O parecer social é o pronunciamento profissional do assistente social e pode ser emitido na fase de concessão, manutenção, recurso ou justamente para embasar decisão médico-pericial.;Recursos das Decisões Administrativas;Recursos das Decisões Administrativas
223;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);O serviço social do INSS possui como diretriz a participação exclusiva do Estado na formulação da política previdenciária, sendo vedada a articulação com associações e entidades de classe para garantir a imparcialidade institucional.;E;O serviço social tem como diretriz exatamente o oposto: buscar a participação do beneficiário na implementação e no fortalecimento da política previdenciária, agindo em articulação com as associações e entidades de classe.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
224;direiro previdenciário;Assistência Social (LOAS/BPC);Em face da diretriz de universalização da Previdência Social, o serviço social do INSS poderá prestar assessoramento técnico aos Estados e aos Municípios na elaboração e implantação de suas respectivas propostas de trabalho.;C;O material afirma expressamente que, considerando a universalização, o serviço social prestará assessoramento técnico aos Estados e Municípios na elaboração e implantação de suas propostas.;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
225;direiro previdenciário;Saúde (SUS);O segurado em gozo de aposentadoria por incapacidade permanente está obrigado a submeter-se a programa de reabilitação profissional, quando prescrito pela previdência social, sob pena de ter o seu benefício suspenso.;C;Os segurados em gozo de auxílio por incapacidade temporária, aposentadoria por incapacidade permanente e o pensionista inválido estão expressamente obrigados a realizar a reabilitação sob pena de suspensão do benefício.;Saúde (SUS);Saúde (SUS)
226;direiro previdenciário;Habilitação e Reabilitação de Profissionais e do Serviço Social;O fornecimento de órteses, próteses e meios auxiliares de locomoção pela Previdência constitui direito assegurado, havendo previsão legal para o INSS reembolsar integralmente as despesas com a aquisição de aparelhos prescritos por médicos particulares, mesmo sem autorização prévia.;E;O INSS não reembolsará em nenhuma hipótese as despesas realizadas com a aquisição de órteses, próteses ou outros materiais que não tenham sido prescritos ou expressamente autorizados por suas unidades de reabilitação profissional.;Habilitação e Reabilitação de Profissionais;Habilitação e Reabilitação de Profissionais e do Serviço Social
227;direiro previdenciário;Financiamento da Seguridade Social;O custeio do transporte para o programa de reabilitação profissional é uma prestação garantida pelo INSS a todo e qualquer segurado com dificuldade de locomoção que esteja participando do programa, independentemente da origem de sua incapacidade.;E;A legislação e o material são claros ao garantir o fornecimento de transporte exclusivamente para o segurado acidentado do trabalho (quando necessário), e não para incapacidades decorrentes de doenças comuns.;Financiamento da Seguridade Social;Financiamento da Seguridade Social
228;direiro previdenciário;Habilitação e Reabilitação de Profissionais e do Serviço Social;A execução dos serviços de reabilitação profissional deve ser realizada preferencialmente por equipe multiprofissional especializada, podendo o beneficiário, em situações excepcionais, ter direito ao serviço em localidade diversa de seu domicílio.;C;A execução se dá, preferencialmente, por equipe multiprofissional (medicina, serviço social, psicologia, etc.) na localidade do domicílio, resguardando-se o direito de atendimento em local diverso apenas em situações excepcionais.;Habilitação e Reabilitação de Profissionais;Habilitação e Reabilitação de Profissionais e do Serviço Social
229;direiro previdenciário;Das Inscrições (RGPS);Dentre o rol de prioridades para encaminhamento aos programas de reabilitação profissional, o atendimento do segurado em gozo de auxílio por incapacidade temporária e do pensionista inválido ostenta caráter obrigatório pelo INSS.;C;De acordo com o art. 416 da IN PRES/INSS nº 128/2022, o atendimento aos beneficiários descritos nos incisos I a IV (que abarcam o auxílio por incapacidade temporária e o pensionista inválido) é de caráter obrigatório.;Auxílio por Incapacidade Temporária;Das Inscrições (RGPS)
230;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;O segurado em gozo de aposentadoria programada que voltar a exercer atividade abrangida pelo RGPS e sofrer redução da capacidade funcional por doença possui direito de atendimento obrigatório pelo programa de reabilitação profissional do INSS.;E;Esse segurado enquadra-se no inciso V do art. 416 da IN 128/2022. Para ele, o atendimento não é obrigatório, mas sim condicionado às possibilidades administrativas, técnicas, financeiras e características locais da agência.;Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
231;direiro previdenciário;Habilitação e Reabilitação de Profissionais e do Serviço Social;Durante o processo de reabilitação profissional, se o treinamento do reabilitando for realizado no ambiente de uma empresa conveniada, será estabelecido automaticamente um vínculo empregatício temporário entre o segurado e a referida empresa.;E;O material assevera expressamente que o treinamento realizado em empresa não estabelece qualquer espécie de vínculo empregatício ou funcional entre o reabilitando e a empresa que oferece o espaço, nem com o INSS.;Habilitação e Reabilitação de Profissionais;Habilitação e Reabilitação de Profissionais e do Serviço Social
232;direiro previdenciário;Habilitação e Reabilitação de Profissionais e do Serviço Social;Concluído com êxito o processo de reabilitação profissional, constitui dever legal da Previdência Social garantir a manutenção do segurado no seu antigo emprego ou providenciar sua efetiva recolocação em um novo posto de trabalho.;E;Não constitui obrigação da Previdência Social a manutenção do segurado no mesmo emprego ou a sua colocação em outro. A responsabilidade e o processo de reabilitação cessam simplesmente com a emissão do certificado individual.;Habilitação e Reabilitação de Profissionais;Habilitação e Reabilitação de Profissionais e do Serviço Social
233;direiro previdenciário;Do Cálculo do Valor do Benefício;Ao término do processo de reabilitação profissional, o INSS emitirá um certificado individual indicando a nova função para a qual o trabalhador foi capacitado, o que não o impede de exercer outra atividade para a qual venha a se julgar apto.;C;A emissão do certificado encerra o programa indicando a função para a qual foi reabilitado, assegurando o material que isso ocorre sem prejuízo do exercício de outra função para a qual ele próprio se julgue capacitado.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
234;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);De acordo com a legislação, toda e qualquer empresa que possuir 100 ou mais empregados está legalmente obrigada a preencher uma cota de 2% a 5% de seus cargos com beneficiários reabilitados ou com pessoas com deficiência.;C;A cota legal de contratação é obrigatória para as empresas a partir de 100 empregados, variando progressivamente a proporção de 2% a 5% de acordo com o tamanho do quadro de funcionários.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
235;direiro previdenciário;Assistência Social (LOAS/BPC);Uma empresa que possua exatamente 600 empregados em seu quadro estará legalmente obrigada a destinar, no mínimo, 3% de suas vagas para beneficiários reabilitados da Previdência Social ou pessoas com deficiência.;E;De acordo com a tabela, para empresas com 501 a 1.000 empregados a cota obrigatória é de 4%. A cota de 3% é aplicável exclusivamente à faixa de empresas que possuem entre 201 e 500 empregados.;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
236;direiro previdenciário;Do Cálculo do Valor do Benefício;A dispensa imotivada de um trabalhador reabilitado que possua contrato por prazo indeterminado só poderá ocorrer validamente após a contratação de um outro trabalhador com deficiência ou beneficiário reabilitado para substituí-lo.;C;A lei impõe essa proteção contra a dispensa imotivada, garantindo que o reabilitado ou pessoa com deficiência só pode ser demitido se a empresa contratar um substituto na mesma condição, mantendo a cota.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
237;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);Para o cômputo e preenchimento da cota de reserva de cargos destinada a pessoas com deficiência nas empresas, o fiscal do trabalho deverá contabilizar e incluir os jovens aprendizes com deficiência contratados sob os ditames da CLT.;E;A lei estipula expressamente que, para a reserva de cargos, será considerada somente a contratação direta de pessoa com deficiência, excluindo-se o aprendiz com deficiência regido pela CLT.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
238;direiro previdenciário;Habilitação e Reabilitação de Profissionais e do Serviço Social;A pessoa com deficiência que não é filiada (segurada) do INSS poderá ser atendida pela reabilitação profissional para fins de concessão de órteses e próteses, condicionando-se essa concessão à celebração prévia de convênio de cooperação técnico-financeira.;C;Para segurados e dependentes, o INSS fornece os recursos na medida de suas possibilidades. Já para as Pessoas com Deficiência (público geral), a prestação é condicionada à celebração de convênios de cooperação técnico-financeira.;Habilitação e Reabilitação de Profissionais;Habilitação e Reabilitação de Profissionais e do Serviço Social
239;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);Compete privativamente ao Instituto Nacional do Seguro Social (INSS) o dever de fiscalizar in loco o preenchimento da cota de vagas por pessoas reabilitadas nas grandes empresas, bem como gerar os dados estatísticos nacionais sobre o tema.;E;O material informa que incumbe ao Ministério do Trabalho e Emprego (MTE) estabelecer a sistemática de fiscalização e gerar os dados estatísticos sobre as vagas preenchidas, e não ao INSS.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
240;direiro previdenciário;Do Salário-de-Contribuição;O salário de contribuição do empregado corresponde à remuneração auferida, devendo a incidência da contribuição observar o regime de caixa, ou seja, depender do efetivo pagamento em dinheiro da prestação trabalhista.;E;Segundo o material, a incidência da contribuição independe do pagamento, bastando ter havido a prestação remunerada do serviço (regime de competência e não de caixa).;Do Salário-de-Contribuição;Do Salário-de-Contribuição
241;direiro previdenciário;Do Salário-de-Contribuição;O limite máximo do salário de contribuição é aplicado para o cálculo das contribuições de todos os segurados do RGPS, estendendo-se essa mesma limitação de teto à contribuição patronal a cargo da empresa.;E;O limite máximo do salário de contribuição é observado apenas para os segurados. A contribuição patronal incide sobre o valor total da remuneração do trabalhador, não se sujeitando a nenhum teto máximo.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
242;direiro previdenciário;Do Salário-de-Contribuição;O décimo terceiro salário (gratificação natalina) integra o salário de contribuição, devendo ser somado à remuneração do mês de dezembro para fins de aplicação do limite máximo (teto) do salário de contribuição.;E;A parcela do 13º salário sofre incidência, mas é verificada de forma autônoma e separada em relação às demais parcelas remuneratórias no que diz respeito à aplicação do limite máximo do salário de contribuição.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
243;direiro previdenciário;Do Salário-de-Contribuição;Apesar de o décimo terceiro salário ser conceituado como salário de contribuição, sofrendo a devida incidência de contribuição previdenciária, ele não integra o cálculo do salário de benefício do segurado.;C;Exato. O 13º salário sofre incidência (conforme a Súmula 688 do STF), mas não é computado na média aritmética para o cálculo do valor dos benefícios previdenciários.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
244;direiro previdenciário;Salário-Maternidade;O Supremo Tribunal Federal declarou inconstitucional a incidência de contribuição previdenciária a cargo da empresa sobre o salário-maternidade, não havendo, contudo, inconstitucionalidade na cobrança da cota do segurado sobre a mesma parcela.;C;O Tema 72 do STF afastou apenas a contribuição patronal. O entendimento fixado pela Receita Federal e da PGFN (Parecer SEI nº 18361) é que a cota da segurada (empregada) continua incidindo normalmente.;Salário-Maternidade;Salário-Maternidade
245;direiro previdenciário;Do Salário-de-Contribuição;As importâncias pagas a título de diárias para viagens integrarão o salário de contribuição do empregado apenas quando o seu valor total exceder a cinquenta por cento da remuneração mensal do trabalhador.;E;Com a Reforma Trabalhista (Lei nº 13.467/2017), as diárias para viagem não integram mais o conceito de remuneração e salário de contribuição, independentemente do valor pago ou de sua proporção em relação ao salário.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
246;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);As férias usufruídas pelo empregado durante o curso do contrato de trabalho possuem natureza remuneratória e sofrem incidência da contribuição previdenciária, inclusive sobre a parcela do seu terço constitucional.;C;O STJ e o STF (Tema 985, com repercussão geral) já firmaram a tese de que é legítima a incidência de contribuição previdenciária sobre as férias gozadas e sobre o terço constitucional de férias.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
247;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);O STJ firmou entendimento de que o auxílio-alimentação pago em pecúnia (dinheiro) sofre incidência de contribuição previdenciária, diferentemente do vale-transporte pago em pecúnia, que mantém seu caráter indenizatório e não integra a base de cálculo.;C;O auxílio-alimentação pago em dinheiro tem natureza salarial e é tributado (Tema 1164 STJ). Já o vale-transporte pago em dinheiro não sofre incidência (Súmula 60 da AGU e posição do STF).;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
248;direiro previdenciário;Do Salário-de-Contribuição;O salário de contribuição do contribuinte individual que presta serviço de transporte rodoviário de cargas, com veículo próprio, corresponde a 20% do valor bruto do frete, admitindo-se a dedução dos gastos comprovados com combustível e manutenção.;E;A legislação fixa a base rigorosamente em 20% do valor bruto do frete, sendo expressamente vedada a dedução de qualquer valor relativo aos dispêndios com combustível e manutenção do veículo.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
249;direiro previdenciário;Do Salário-de-Contribuição;O valor pago a título de aviso prévio indenizado integra o conceito de salário de contribuição do empregado por possuir natureza salarial direta no encerramento do contrato.;E;A jurisprudência do STJ e a PGFN admitem que o aviso prévio indenizado possui natureza indenizatória, razão pela qual sobre ele NÃO incide contribuição previdenciária (incidindo apenas em seu reflexo no 13º salário).;Do Salário-de-Contribuição;Do Salário-de-Contribuição
250;direiro previdenciário;Previdência Complementar;Os valores das contribuições pagos pela empresa relativos a programa de previdência complementar aberta serão isentos de contribuição previdenciária, desde que o programa seja disponibilizado à totalidade de seus empregados e dirigentes.;C;A legislação (art. 28, §9º) exige expressamente que a previdência complementar seja disponível de maneira irrestrita à totalidade dos empregados e dirigentes da pessoa jurídica para que a parcela não integre o salário de contribuição.;Tópicos Mesclados / Outros (Previdenciário);Previdência Complementar
251;direiro previdenciário;Financiamento da Seguridade Social;A União detém a competência residual para criar novas contribuições sociais, desde que o faça por lei complementar, sejam não cumulativas e não tenham fato gerador ou base de cálculo próprios de impostos.;E;A CF/88 (art. 195, §4º) prevê que as novas contribuições (residuais) não podem ter fato gerador ou base de cálculo de OUTRAS CONTRIBUIÇÕES SOCIAIS. O STF pacificou que elas podem, sim, ter identidade de base de cálculo e fato gerador próprios de impostos.;Financiamento da Seguridade Social;Financiamento da Seguridade Social
252;direiro previdenciário;Salário-Maternidade;A Constituição Federal autoriza a adoção de alíquotas diferenciadas para as contribuições das empresas sobre a folha de salários, o faturamento e o lucro, contudo, a adoção de bases de cálculo diferenciadas restringe-se ao faturamento e ao lucro.;C;De acordo com o art. 195, §9º da CF (redação da EC nº 103/2019), todas podem ter alíquotas diferenciadas, mas bases de cálculo diferenciadas são permitidas apenas para as contribuições incidentes sobre a receita/faturamento e lucro.;Salário-Maternidade;Salário-Maternidade
253;direiro previdenciário;Princípios e Objetivos da Seguridade Social;O princípio da anterioridade mitigada (noventena) aplica-se obrigatoriamente tanto à criação e majoração das contribuições sociais quanto aos casos em que a lei apenas reduz o valor ou a alíquota da contribuição previdenciária.;E;A melhor doutrina e a jurisprudência interpretam que a noventena só é exigida em favor do contribuinte em casos de criação ou majoração do tributo, não sendo necessário aguardar 90 dias para usufruir de uma lei que tenha reduzido o seu encargo.;Princípios e Objetivos da Seguridade Social;Princípios e Objetivos da Seguridade Social
254;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);Nos termos da Constituição Federal, as receitas dos Estados, do Distrito Federal e dos Municípios destinadas à Seguridade Social constarão diretamente e de forma vinculada no orçamento geral da União.;E;O art. 195, §1º da CF/88 é claro ao dispor que o financiamento indireto feito por meio das receitas dos Estados, DF e Municípios constará em seus próprios orçamentos, NÃO integrando o orçamento da União.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
255;direiro previdenciário;Do Cálculo do Valor do Benefício;É permitida a concessão de moratória e parcelamento para o pagamento de contribuições previdenciárias em atraso, desde que o prazo de parcelamento negociado com o Poder Público não seja superior a 60 (sessenta) meses.;C;A Reforma da Previdência (EC nº 103/2019) alterou o §11 do art. 195 da CF, vedando expressamente o perdão (moratória) ou o parcelamento das contribuições previdenciárias em um prazo de parcelamento que ultrapasse a linha de 60 meses.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
256;direiro previdenciário;Do Cálculo do Valor do Benefício;Após a Reforma da Previdência, o segurado somente terá reconhecida como tempo de contribuição a competência cuja contribuição seja igual ou superior à mínima exigida, permitindo-se, contudo, o agrupamento de contribuições dentro do mesmo ano civil.;C;Conforme o §14 do art. 195 da CF/88, as contribuições abaixo do piso (salário mínimo) não são contadas. No entanto, o segurado pode complementar o valor, agrupar de diferentes meses ou usar o excedente de outro mês do mesmo ano civil para validar o período.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
257;direiro previdenciário;Do Salário-de-Contribuição;Os valores despendidos por entidades religiosas com ministros de confissão religiosa para sua subsistência não integram o salário de contribuição, desde que fornecidos em condições que independam da natureza e quantidade do trabalho executado.;C;Conforme estipula a Lei nº 8.212/91, art. 22, §13, esses valores repassados para subsistência (em face do mister) não são considerados remuneração direta ou indireta e, consequentemente, não sofrem tributação previdenciária.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
258;direiro previdenciário;Do Salário-de-Contribuição;A Participação nos Lucros e Resultados (PLR) paga pela empresa não integra o salário de contribuição, mesmo nos casos em que for repassada aos empregados de forma mensal como bônus e em periodicidade ininterrupta.;E;Para não ser tributada, a PLR deve obrigatoriamente obedecer à lei específica (Lei nº 10.101/00), que proíbe sua habitualidade disfarçada, vedando o pagamento em periodicidade inferior a um trimestre civil ou mais de duas vezes no mesmo ano.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
259;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);O adicional de quebra de caixa pago mensalmente aos empregados responsáveis pelo manuseio de valores (como bancários e caixas de supermercado) possui natureza estritamente indenizatória, isentando-se da incidência da contribuição previdenciária.;E;"O TST (Súmula nº 247) e o STJ já consolidaram de forma pacífica o entendimento de que a parcela denominada ""quebra de caixa"" possui plena natureza salarial, compondo o salário de contribuição e sofrendo tributação previdenciária ordinária.";Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
260;direiro previdenciário;Conceito de Empresa e Empregador Doméstico;Para o Direito Previdenciário, a finalidade lucrativa é uma condição essencial e indispensável para que a firma individual ou a sociedade seja enquadrada no conceito legal de empresa.;E;De acordo com o art. 15, I, da Lei nº 8.212/91, a empresa é definida como a firma individual ou sociedade que assume o risco da atividade econômica urbana e rural, com fins lucrativos OU NÃO. Assim, a finalidade lucrativa não é essencial.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
261;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);A pessoa física, na condição de proprietário ou dona de obra de construção civil, equipara-se à empresa em relação às obrigações previdenciárias devidas ao segurado pedreiro que lhe preste serviços.;C;A legislação (art. 15, parágrafo único, da Lei de Custeio) equipara expressamente a empresa o dono de obra pessoa física em relação aos segurados que lhe prestam serviço no local.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
262;direiro previdenciário;Financiamento da Seguridade Social;O microempreendedor individual (MEI), ao atuar na condição de empregador contratando um funcionário, estará obrigado a recolher a contribuição patronal previdenciária à alíquota padrão de 20% sobre o salário do trabalhador.;E;A lei garante um benefício ao MEI: como empregador, ele pagará uma alíquota reduzida de apenas 3% (e não 20%) a título de contribuição patronal sobre o salário de contribuição do empregado contratado.;Salário-Família;Salário-Família
263;direiro previdenciário;Do Salário-de-Contribuição;Após a Reforma da Previdência (EC nº 103/2019), a contribuição dos segurados empregados, domésticos e trabalhadores avulsos passou a ser calculada pela aplicação de alíquotas progressivas (de 7,5% a 14%) incidentes sobre faixas do salário de contribuição.;C;Essa foi uma das maiores inovações da EC 103/2019, substituindo a alíquota única por alíquotas progressivas aplicadas gradualmente sobre as parcelas do salário do segurado.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
264;direiro previdenciário;Do Salário-de-Contribuição;O empregador doméstico está sujeito ao recolhimento da contribuição patronal de 8% e da contribuição social de 0,8% destinada ao seguro contra acidentes do trabalho, ambas incidentes sobre o salário de contribuição do seu empregado doméstico.;C;Esses são os exatos percentuais de responsabilidade patronal do empregador doméstico recolhidos atualmente através da guia do eSocial (Simples Doméstico).;Do Salário-de-Contribuição;Do Salário-de-Contribuição
265;direiro previdenciário;Financiamento da Seguridade Social;As instituições financeiras (como os bancos comerciais) estão sujeitas à mesma alíquota de contribuição patronal incidente sobre a remuneração dos empregados aplicável às demais empresas da iniciativa privada (20%).;E;Para os bancos comerciais e demais instituições financeiras, a contribuição patronal de 20% sofre um acréscimo legal de 2,5%, totalizando a alíquota majorada de 22,5%.;Salário-Família;Salário-Família
266;direiro previdenciário;Do Salário-de-Contribuição;O limite máximo do salário de contribuição (teto do RGPS) restringe a base de cálculo tanto para a retenção da cota do segurado empregado quanto para o cálculo da contribuição patronal devida pela empresa contratante.;E;O teto do RGPS limita exclusivamente a contribuição devida pelo segurado. Para a contribuição patronal a cargo da empresa, a incidência recai sobre o valor TOTAL da folha, sem qualquer limitação de teto.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
267;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;A Emenda Constitucional nº 103/2019 incluiu no texto constitucional a vedação absoluta à concessão de moratória e de parcelamento das contribuições sociais previdenciárias que ultrapassem o prazo máximo de 60 meses.;C;De acordo com o art. 195, §11 da CF, é expressamente vedado conceder moratória ou parcelamento de contribuições previdenciárias em prazo superior a 60 (sessenta) meses.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
268;direiro previdenciário;Aposentadoria por Idade e Tempo de Contribuição;As aposentadorias e as pensões por morte mantidas e pagas pelo Regime Geral de Previdência Social são beneficiadas com imunidade tributária, não sofrendo incidência da contribuição social previdenciária.;C;O art. 195, II da Constituição garante essa imunidade, vedando a incidência de contribuição sobre as aposentadorias e pensões concedidas no âmbito exclusivo do RGPS.;Aposentadoria por Idade e Tempo de Contribuição;Aposentadoria por Idade e Tempo de Contribuição
269;direiro previdenciário;Financiamento da Seguridade Social;A União, ao exercer a sua competência residual para criar novas contribuições sociais de seguridade social, não poderá instituí-las caso possuam o mesmo fato gerador ou a mesma base de cálculo de impostos já existentes.;E;A Constituição proíbe que as novas contribuições tenham base de cálculo ou fato gerador de OUTRAS CONTRIBUIÇÕES SOCIAIS. O STF pacificou que elas podem, sim, ter fato gerador e base idênticos aos de impostos.;Financiamento da Seguridade Social;Financiamento da Seguridade Social
270;direiro previdenciário;Do Salário-de-Contribuição;O segurado cuja remuneração mensal for inferior ao limite mínimo do salário de contribuição poderá complementar o valor, agrupar contribuições de diferentes competências ou usar excedentes de outro mês, desde que o faça dentro do mesmo ano civil.;C;Esse é o regramento trazido pelo §14 do art. 195 e detalhado pela EC 103/2019. Contribuições abaixo do mínimo não contam, devendo o segurado ajustá-las (agrupar/complementar) rigorosamente no mesmo ano civil.;Do Salário-de-Contribuição;Do Salário-de-Contribuição
271;direiro previdenciário;Assistência Social (LOAS/BPC);O princípio da anterioridade nonagesimal (noventena) aplica-se obrigatoriamente tanto para a criação e majoração das contribuições sociais quanto para os casos em que a lei conceda a redução de suas alíquotas.;E;A jurisprudência e a doutrina pacificaram que a noventena atua como garantia do contribuinte contra surpresas. Assim, a exigência de 90 dias não se aplica quando há redução de tributos, vigorando a redução de imediato.;Assistência Social (LOAS/BPC);Assistência Social (LOAS/BPC)
272;direiro previdenciário;Conceito de Empresa e Empregador Doméstico;Os órgãos e entidades da administração pública direta, indireta e fundacional dos Municípios não integram o conceito previdenciário de empresa, estando submetidos a um sistema tributário exclusivo por fazerem parte da estrutura do Estado.;E;Conforme o art. 15, I da Lei 8.212/91, os órgãos e entidades da administração pública direta, indireta e fundacional são legalmente enquadrados no conceito de EMPRESA para fins de cumprimento das obrigações previdenciárias.;Tópicos Mesclados / Outros (Previdenciário);Conceito de Empresa e Empregador Doméstico
273;direiro previdenciário;Da Arrecadação e Recolhimento das Contribuições;A responsabilidade pelo desconto (retenção) e repasse da contribuição previdenciária incidente sobre a remuneração do trabalhador avulso recai sobre o órgão gestor de mão de obra (OGMO) ou sobre a empresa tomadora do serviço.;C;Como o trabalhador avulso presta serviços a diversas empresas e não recolhe diretamente sua cota, a legislação delega ao OGMO (portuários) ou à empresa tomadora (não portuários) o dever de retenção e repasse da contribuição.;Da Arrecadação e Recolhimento das Contribuições;Da Arrecadação e Recolhimento das Contribuições
274;direiro previdenciário;Legislação Previdenciária;Na composição das 'Outras Fontes' de receita do orçamento da Seguridade Social está a destinação de 50% dos valores arrecadados nos leilões de bens apreendidos em decorrência da exploração de trabalho escravo e tráfico de entorpecentes.;C;"O parágrafo único do art. 243 da CF aliado à lei de custeio preveem o repasse dessa porcentagem ao Fundo que cuida de ações de saúde, integrando a rubrica ""outras fontes"" da Seguridade Social.";Legislação Previdenciária;Legislação Previdenciária
275;direiro previdenciário;Da Arrecadação e Recolhimento das Contribuições;A remuneração de 3,5% recebida pela Seguridade Social referente ao serviço de arrecadação, fiscalização e cobrança prestado a terceiros (como as entidades do Sistema S) integra as receitas orçamentárias da previdência de forma oficial.;C;Conforme o art. 27 da Lei 8.212/91, essa remuneração pelos serviços de cobrança de terceiros integra as 'receitas de outras fontes' da Seguridade (ressalvando-se que no Salário-Educação a taxa é de 1%).;Da Arrecadação e Recolhimento das Contribuições;Da Arrecadação e Recolhimento das Contribuições
276;direiro previdenciário;Financiamento da Seguridade Social;A contribuição patronal previdenciária de 20% incidente sobre a folha de salários obedece estritamente ao regime de caixa, exigindo-se que o empregado receba o dinheiro efetivamente nas mãos para configurar o fato gerador da tributação.;E;"A legislação previdenciária utiliza o regime de competência. O fato gerador independe do pagamento, pois a incidência ocorre sobre a remuneração ""devida ou creditada"", bastando que tenha ocorrido a prestação do serviço.";Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
277;direiro previdenciário;Salário-Família;Caso um segurado possua dois vínculos empregatícios simultâneos, a aplicação das alíquotas progressivas deverá ser feita isoladamente em cada empresa, vedando-se a soma das remunerações para a fixação das faixas tributárias.;E;O material assevera que, ocorrendo múltiplos vínculos, as alíquotas devem considerar a SOMA de todas as remunerações recebidas pelo segurado no mês, devendo ele avisar as empresas para aplicarem o desconto respeitando o limite do teto.;Salário-Família;Salário-Família
278;direiro previdenciário;Financiamento da Seguridade Social;Com as alterações trazidas pela EC nº 103/2019, a Constituição passou a permitir a fixação de bases de cálculo diferenciadas para a contribuição patronal que incide sobre a folha de salários das empresas.;E;A permissão constitucional para adoção de BASES DE CÁLCULO diferenciadas restringe-se exclusivamente às contribuições sobre a receita/faturamento e sobre o lucro. A contribuição sobre a folha de salários só admite alíquotas diferenciadas.;Do Cálculo do Valor do Benefício;Do Cálculo do Valor do Benefício
279;direiro previdenciário;Tópicos Mesclados sobre Segurados (RGPS);A missão diplomática e a repartição consular de carreira estrangeiras localizadas no Brasil são legalmente equiparadas a empresas, sujeitando-se às obrigações previdenciárias de reter e recolher a contribuição dos segurados que lhes prestam serviços.;C;O art. 15, parágrafo único da Lei de Custeio equipara expressamente as missões diplomáticas e as repartições consulares à condição de empresas para fins de proteção social dos trabalhadores ali contratados.;Tópicos Mesclados / Outros (Previdenciário);Tópicos Mesclados sobre Segurados (RGPS)
